smooth/rough,disorganized/organized,chromaticity,dull/shiny,darkness/lightness,Image,fine/coarse grain,red/green
8.2,1.8,2.9,7.3,6.4,S_Rock Salt_04.jpg,7.2,5.81
4.75,4.15,5.6,5.15,6.5,S_Rock Salt_05.jpg,4.0,2.0
8.05,3.5,0.5,6.5,4.35,S_Rock Salt_06.jpg,6.9,5.0
8.2,2.65,2.3,6.35,8.05,S_Rock Salt_07.jpg,6.75,5.12
3.6,5.4,2.2,7.25,8.25,S_Rock Salt_08.jpg,3.15,4.33
7.75,2.45,3.6,7.25,7.55,S_Rock Salt_09.jpg,5.6,3.02
3.95,5.5,3.4,6.2,8.3,S_Rock Salt_10.jpg,3.0,3.14
3.3,4.9,4.7,5.9,7.0,S_Rock Salt_11.jpg,3.55,2.09
3.7,4.0,0.4,7.45,8.4,S_Rock Salt_12.jpg,2.3,5.02
3.55,8.9,4.5,2.35,4.55,S_Sandstone_01.jpg,4.1,3.14
3.65,7.55,4.5,2.75,7.1,S_Sandstone_02.jpg,3.55,4.84
2.75,6.85,1.8,2.35,7.15,S_Sandstone_03.jpg,2.85,5.53
3.4,5.6,1.8,1.75,7.1,S_Sandstone_04.jpg,3.0,5.23
3.85,6.6,5.7,2.0,5.4,S_Sandstone_05.jpg,3.2,1.6
4.35,8.4,3.3,1.95,6.65,S_Sandstone_06.jpg,4.15,3.02
3.75,8.95,5.7,2.15,5.5,S_Sandstone_07.jpg,3.5,1.86
3.4,6.5,3.7,2.1,7.25,S_Sandstone_08.jpg,2.95,4.05
3.85,7.75,5.6,1.8,5.85,S_Sandstone_09.jpg,3.85,1.56
5.35,5.5,4.2,2.25,6.7,S_Sandstone_10.jpg,4.25,3.21
4.95,5.7,2.0,2.1,7.0,S_Sandstone_11.jpg,4.05,6.53
3.6,6.65,5.4,1.6,7.05,S_Sandstone_12.jpg,3.3,3.07
2.7,5.95,2.2,3.75,4.2,S_Shale_01.jpg,2.35,4.21
4.95,4.9,1.8,3.1,2.5,S_Shale_02.jpg,3.8,5.35
4.0,5.25,5.0,2.0,5.2,S_Shale_03.jpg,3.0,2.3
2.85,5.8,0.5,2.3,2.55,S_Shale_04.jpg,2.35,5.05
2.8,6.1,2.3,2.65,3.75,S_Shale_05.jpg,2.45,4.02
4.15,6.6,4.2,3.35,4.4,S_Shale_06.jpg,4.4,3.09
3.45,5.4,2.3,3.45,4.8,S_Shale_07.jpg,2.8,5.23
3.6,5.15,3.7,4.7,3.5,S_Shale_08.jpg,3.1,2.95
5.2,3.7,3.5,3.15,3.65,S_Shale_09.jpg,4.0,4.09
3.75,5.5,0.5,1.8,4.05,S_Shale_10.jpg,2.9,5.07
5.25,5.3,5.6,3.75,5.05,S_Shale_11.jpg,3.45,2.23
3.8,5.5,3.8,2.75,5.35,S_Shale_12.jpg,3.35,3.05
