smooth/rough,disorganized/organized,chromaticity,dull/shiny,darkness/lightness,Image,fine/coarse grain,red/green
7.15,2.45,1.0,4.35,5.1,I_Pegmatite_05.jpg,7.6,5.33
5.85,3.3,1.8,3.9,6.8,I_Pegmatite_06.jpg,5.75,4.37
6.9,2.35,2.6,4.5,5.0,I_Pegmatite_07.jpg,7.45,5.77
6.9,2.6,3.0,6.6,4.5,I_Pegmatite_08.jpg,5.95,5.07
6.8,2.1,3.5,5.2,5.55,I_Pegmatite_09.jpg,6.8,7.56
6.5,3.55,4.4,5.7,6.4,I_Pegmatite_10.jpg,6.6,7.67
6.5,2.5,4.3,4.55,5.25,I_Pegmatite_11.jpg,7.45,3.0
6.75,3.25,0.5,4.75,5.45,I_Pegmatite_12.jpg,6.6,5.07
4.95,5.85,1.4,2.85,3.25,I_Peridotite_01.jpg,3.55,5.58
5.7,3.45,4.1,4.75,5.35,I_Peridotite_02.jpg,6.2,7.56
6.15,4.2,1.1,3.35,3.3,I_Peridotite_03.jpg,6.45,5.44
5.5,4.0,3.8,4.35,5.7,I_Peridotite_04.jpg,6.25,4.16
5.9,4.3,2.9,4.65,4.6,I_Peridotite_05.jpg,4.8,7.21
7.0,2.45,3.3,6.0,5.05,I_Peridotite_06.jpg,6.95,7.72
6.2,4.45,2.3,3.4,4.7,I_Peridotite_07.jpg,5.85,7.33
6.1,4.25,3.6,4.0,4.2,I_Peridotite_08.jpg,6.4,7.16
5.05,4.25,1.5,3.1,3.95,I_Peridotite_09.jpg,4.8,5.05
7.1,4.1,2.5,4.35,5.1,I_Peridotite_10.jpg,6.65,7.21
6.95,3.5,3.0,2.45,5.45,I_Peridotite_11.jpg,6.35,8.51
6.0,4.6,2.6,4.1,4.85,I_Peridotite_12.jpg,6.45,7.33
5.9,4.35,1.3,1.8,8.2,I_Pumice_01.jpg,4.95,4.86
7.05,3.85,1.8,2.0,7.9,I_Pumice_02.jpg,5.8,4.35
6.6,3.9,2.0,1.85,7.6,I_Pumice_03.jpg,4.85,4.65
6.2,4.55,1.3,1.6,7.1,I_Pumice_04.jpg,5.2,4.79
6.35,4.85,3.8,1.55,6.6,I_Pumice_05.jpg,5.2,7.4
7.05,5.1,3.4,1.95,7.2,I_Pumice_06.jpg,5.55,4.16
6.65,4.15,1.6,2.35,6.9,I_Pumice_07.jpg,5.85,4.49
5.1,4.95,0.4,2.15,7.3,I_Pumice_08.jpg,4.25,4.93
7.6,3.7,1.4,2.15,7.85,I_Pumice_09.jpg,6.1,4.95
7.25,5.6,1.0,1.85,8.25,I_Pumice_10.jpg,6.15,5.88
5.3,5.6,1.3,1.7,8.15,I_Pumice_11.jpg,4.75,4.91
4.6,5.4,0.6,2.0,8.45,I_Pumice_12.jpg,4.3,4.49
5.85,4.45,1.7,2.75,7.1,I_Rhyolite_01.jpg,5.6,4.58
4.5,5.35,3.4,2.25,5.5,I_Rhyolite_02.jpg,5.85,3.21
4.1,6.55,2.5,4.65,3.8,I_Rhyolite_03.jpg,4.9,6.0
4.05,5.8,4.2,2.55,7.55,I_Rhyolite_04.jpg,3.7,2.58
4.95,4.35,4.1,2.25,5.5,I_Rhyolite_05.jpg,4.35,2.74
4.3,6.35,1.9,3.75,4.05,I_Rhyolite_06.jpg,5.25,5.37
4.45,7.15,1.8,2.4,3.15,I_Rhyolite_07.jpg,3.75,4.33
3.95,6.2,4.5,1.45,7.05,I_Rhyolite_08.jpg,3.55,2.91
4.55,5.45,5.2,1.8,6.25,I_Rhyolite_09.jpg,5.85,2.51
4.75,5.8,2.2,2.65,5.7,I_Rhyolite_10.jpg,5.4,7.98
