dull/shiny,disorganized/organized,fine/coarse grain,Image,red/green,smooth/rough,chromaticity,darkness/lightness
6.05,3.8,6.4,S_Rock Salt_03.jpg,4.77,7.15,1.7,7.1
7.3,1.8,7.2,S_Rock Salt_04.jpg,5.81,8.2,2.9,6.4
5.15,4.15,4.0,S_Rock Salt_05.jpg,2.0,4.75,5.6,6.5
6.5,3.5,6.9,S_Rock Salt_06.jpg,5.0,8.05,0.5,4.35
6.35,2.65,6.75,S_Rock Salt_07.jpg,5.12,8.2,2.3,8.05
7.25,5.4,3.15,S_Rock Salt_08.jpg,4.33,3.6,2.2,8.25
7.25,2.45,5.6,S_Rock Salt_09.jpg,3.02,7.75,3.6,7.55
6.2,5.5,3.0,S_Rock Salt_10.jpg,3.14,3.95,3.4,8.3
5.9,4.9,3.55,S_Rock Salt_11.jpg,2.09,3.3,4.7,7.0
7.45,4.0,2.3,S_Rock Salt_12.jpg,5.02,3.7,0.4,8.4
2.35,8.9,4.1,S_Sandstone_01.jpg,3.14,3.55,4.5,4.55
2.75,7.55,3.55,S_Sandstone_02.jpg,4.84,3.65,4.5,7.1
2.35,6.85,2.85,S_Sandstone_03.jpg,5.53,2.75,1.8,7.15
1.75,5.6,3.0,S_Sandstone_04.jpg,5.23,3.4,1.8,7.1
2.0,6.6,3.2,S_Sandstone_05.jpg,1.6,3.85,5.7,5.4
1.95,8.4,4.15,S_Sandstone_06.jpg,3.02,4.35,3.3,6.65
2.15,8.95,3.5,S_Sandstone_07.jpg,1.86,3.75,5.7,5.5
2.1,6.5,2.95,S_Sandstone_08.jpg,4.05,3.4,3.7,7.25
1.8,7.75,3.85,S_Sandstone_09.jpg,1.56,3.85,5.6,5.85
2.25,5.5,4.25,S_Sandstone_10.jpg,3.21,5.35,4.2,6.7
2.1,5.7,4.05,S_Sandstone_11.jpg,6.53,4.95,2.0,7.0
1.6,6.65,3.3,S_Sandstone_12.jpg,3.07,3.6,5.4,7.05
3.75,5.95,2.35,S_Shale_01.jpg,4.21,2.7,2.2,4.2
3.1,4.9,3.8,S_Shale_02.jpg,5.35,4.95,1.8,2.5
2.0,5.25,3.0,S_Shale_03.jpg,2.3,4.0,5.0,5.2
2.3,5.8,2.35,S_Shale_04.jpg,5.05,2.85,0.5,2.55
2.65,6.1,2.45,S_Shale_05.jpg,4.02,2.8,2.3,3.75
3.35,6.6,4.4,S_Shale_06.jpg,3.09,4.15,4.2,4.4
3.45,5.4,2.8,S_Shale_07.jpg,5.23,3.45,2.3,4.8
4.7,5.15,3.1,S_Shale_08.jpg,2.95,3.6,3.7,3.5
3.15,3.7,4.0,S_Shale_09.jpg,4.09,5.2,3.5,3.65
1.8,5.5,2.9,S_Shale_10.jpg,5.07,3.75,0.5,4.05
3.75,5.3,3.45,S_Shale_11.jpg,2.23,5.25,5.6,5.05
2.75,5.5,3.35,S_Shale_12.jpg,3.05,3.8,3.8,5.35
