porphyritic texture,Image,conchoidal fracture,pegmatitic structure
3.57,M_Amphibolite_04.jpg,2.4,2.8
5.48,M_Amphibolite_05.jpg,1.33,3.0
4.05,M_Amphibolite_06.jpg,2.2,2.35
5.24,M_Amphibolite_07.jpg,2.33,3.9
3.95,M_Amphibolite_08.jpg,4.0,4.55
5.19,M_Amphibolite_09.jpg,2.6,3.65
4.9,M_Amphibolite_10.jpg,2.87,3.3
7.14,M_Amphibolite_11.jpg,1.6,4.25
6.14,M_Amphibolite_12.jpg,2.27,5.55
1.19,M_Anthracite_01.jpg,6.07,3.1
1.38,M_Anthracite_02.jpg,5.6,3.75
2.24,M_Anthracite_03.jpg,3.87,5.0
1.95,M_Anthracite_04.jpg,7.13,4.95
1.14,M_Anthracite_05.jpg,5.67,3.4
2.1,M_Anthracite_06.jpg,3.67,2.7
1.38,M_Anthracite_07.jpg,6.27,3.8
1.05,M_Anthracite_08.jpg,5.87,3.85
1.33,M_Anthracite_09.jpg,7.47,3.25
2.57,M_Anthracite_10.jpg,4.27,3.85
1.76,M_Anthracite_11.jpg,4.47,3.75
2.14,M_Anthracite_12.jpg,6.33,4.85
4.1,M_Gneiss_01.jpg,3.2,2.1
4.33,M_Gneiss_02.jpg,2.73,3.35
3.86,M_Gneiss_03.jpg,2.47,2.4
3.71,M_Gneiss_04.jpg,2.47,3.1
4.95,M_Gneiss_05.jpg,2.33,2.45
3.1,M_Gneiss_06.jpg,2.47,1.75
3.0,M_Gneiss_07.jpg,2.8,2.6
3.43,M_Gneiss_08.jpg,2.6,3.7
3.81,M_Gneiss_09.jpg,2.67,2.4
4.52,M_Gneiss_10.jpg,1.87,2.85
3.19,M_Gneiss_11.jpg,1.93,2.25
4.0,M_Gneiss_12.jpg,3.27,3.0
1.67,M_Hornfels_01.jpg,4.4,2.15
2.33,M_Hornfels_02.jpg,2.33,1.25
1.05,M_Hornfels_03.jpg,3.53,1.9
2.52,M_Hornfels_04.jpg,2.73,1.35
1.33,M_Hornfels_05.jpg,4.2,1.9
2.48,M_Hornfels_06.jpg,4.4,1.7
2.29,M_Hornfels_07.jpg,4.0,2.15
3.62,M_Hornfels_08.jpg,3.0,1.85
2.95,M_Hornfels_09.jpg,2.33,1.75
2.38,M_Hornfels_10.jpg,2.53,1.15
4.62,M_Hornfels_11.jpg,2.07,2.0
1.71,M_Hornfels_12.jpg,4.2,2.0
3.86,M_Marble_01.jpg,2.07,3.7
1.29,M_Marble_02.jpg,3.47,2.35
1.57,M_Marble_03.jpg,2.07,1.1
3.29,M_Marble_04.jpg,2.6,2.8
2.38,M_Marble_05.jpg,2.4,3.45
2.57,M_Marble_06.jpg,3.13,2.8
5.05,M_Marble_07.jpg,2.4,2.3
2.86,M_Marble_08.jpg,2.33,3.35
3.14,M_Marble_09.jpg,2.6,3.6
3.33,M_Marble_10.jpg,2.53,3.7
4.81,M_Marble_11.jpg,2.87,3.75
3.29,M_Marble_12.jpg,2.8,4.35
3.24,M_Migmatite_01.jpg,3.27,2.2
3.71,M_Migmatite_02.jpg,1.73,1.75
2.81,M_Migmatite_03.jpg,3.6,1.75
2.71,M_Migmatite_04.jpg,3.0,2.35
2.86,M_Migmatite_05.jpg,3.27,2.0
3.48,M_Migmatite_06.jpg,3.07,3.4
3.95,M_Migmatite_07.jpg,3.93,3.5
4.19,M_Migmatite_08.jpg,2.53,2.6
5.33,M_Migmatite_09.jpg,2.27,3.35
4.62,M_Migmatite_10.jpg,1.93,2.15
3.05,M_Migmatite_11.jpg,2.6,2.9
2.67,M_Migmatite_12.jpg,3.6,1.7
6.86,M_Phyllite_01.jpg,3.13,4.35
2.38,M_Phyllite_02.jpg,3.47,1.75
2.24,M_Phyllite_03.jpg,4.07,2.05
4.43,M_Phyllite_04.jpg,3.4,2.5
1.57,M_Phyllite_05.jpg,3.07,1.25
1.48,M_Phyllite_06.jpg,4.6,1.8
2.71,M_Phyllite_07.jpg,2.6,1.65
2.14,M_Phyllite_08.jpg,4.87,2.75
2.24,M_Phyllite_09.jpg,4.4,2.1
2.71,M_Phyllite_10.jpg,3.53,1.45
3.86,M_Phyllite_11.jpg,2.4,2.8
2.1,M_Phyllite_12.jpg,3.47,2.6
4.05,M_Quartzite_01.jpg,2.47,2.1
1.9,M_Quartzite_02.jpg,3.2,1.65
5.29,M_Quartzite_03.jpg,1.6,2.55
3.95,M_Quartzite_04.jpg,2.13,2.55
2.62,M_Quartzite_05.jpg,2.4,2.0
3.43,M_Quartzite_06.jpg,3.0,2.65
1.52,M_Quartzite_07.jpg,3.6,1.55
2.76,M_Quartzite_08.jpg,2.13,1.85
4.76,M_Quartzite_09.jpg,2.4,2.35
3.62,M_Quartzite_10.jpg,2.53,3.0
3.86,M_Quartzite_11.jpg,2.6,1.5
2.29,M_Quartzite_12.jpg,1.93,1.3
2.57,M_Schist_01.jpg,2.33,1.7
3.95,M_Schist_02.jpg,2.33,3.2
4.76,M_Schist_03.jpg,2.13,4.1
4.71,M_Schist_04.jpg,2.6,3.45
2.33,M_Schist_05.jpg,4.0,3.05
5.95,M_Schist_06.jpg,2.93,3.95
4.24,M_Schist_07.jpg,2.53,3.4
5.9,M_Schist_08.jpg,2.53,5.3
5.52,M_Schist_09.jpg,2.4,3.4
4.19,M_Schist_10.jpg,1.93,3.2
6.86,M_Schist_11.jpg,1.93,5.15
5.9,M_Schist_12.jpg,1.87,4.3
2.29,M_Slate_01.jpg,3.13,1.65
1.43,M_Slate_02.jpg,4.73,1.8
1.62,M_Slate_03.jpg,3.4,1.05
1.43,M_Slate_04.jpg,3.13,1.05
1.67,M_Slate_05.jpg,3.2,1.2
1.62,M_Slate_06.jpg,3.53,1.4
1.43,M_Slate_07.jpg,2.93,1.15
1.48,M_Slate_08.jpg,4.2,1.1
1.9,M_Slate_09.jpg,3.4,2.35
1.62,M_Slate_10.jpg,3.67,1.35
1.62,M_Slate_11.jpg,5.73,1.25
1.38,M_Slate_12.jpg,3.33,1.35
2.57,S_Bituminous Coal_01.jpg,4.07,2.7
1.71,S_Bituminous Coal_02.jpg,6.87,4.05
1.9,S_Bituminous Coal_03.jpg,3.73,2.6
2.52,S_Bituminous Coal_04.jpg,4.47,3.3
2.48,S_Bituminous Coal_05.jpg,3.4,2.35
1.9,S_Bituminous Coal_06.jpg,3.67,2.0
1.9,S_Bituminous Coal_07.jpg,4.13,2.05
1.71,S_Bituminous Coal_08.jpg,4.6,2.75
1.0,S_Bituminous Coal_09.jpg,8.33,2.8
1.52,S_Bituminous Coal_10.jpg,4.47,2.9
1.05,S_Bituminous Coal_11.jpg,5.27,2.95
2.86,S_Bituminous Coal_12.jpg,3.47,2.4
5.9,S_Breccia_01.jpg,3.13,4.7
7.81,S_Breccia_02.jpg,2.07,5.4
7.33,S_Breccia_03.jpg,2.4,3.75
6.19,S_Breccia_04.jpg,2.73,3.15
7.14,S_Breccia_05.jpg,1.93,6.6
6.19,S_Breccia_06.jpg,2.0,4.55
8.33,S_Breccia_07.jpg,1.27,5.0
7.81,S_Breccia_08.jpg,2.53,6.55
4.67,S_Breccia_09.jpg,4.2,4.95
7.95,S_Breccia_10.jpg,1.6,4.4
8.24,S_Breccia_11.jpg,1.8,5.45
7.9,S_Breccia_12.jpg,1.4,4.6
2.62,S_Chert_01.jpg,6.07,3.5
1.48,S_Chert_02.jpg,4.47,1.7
1.95,S_Chert_03.jpg,6.4,2.65
1.81,S_Chert_04.jpg,3.73,1.4
2.05,S_Chert_05.jpg,5.6,1.5
2.43,S_Chert_06.jpg,5.27,1.9
1.71,S_Chert_07.jpg,3.4,1.35
2.14,S_Chert_08.jpg,7.67,4.0
2.0,S_Chert_09.jpg,6.07,3.45
2.33,S_Chert_10.jpg,8.13,2.75
3.33,S_Chert_11.jpg,7.73,5.85
2.05,S_Chert_12.jpg,5.53,1.85
6.62,S_Conglomerate_01.jpg,1.6,4.2
8.29,S_Conglomerate_02.jpg,1.87,4.55
8.0,S_Conglomerate_03.jpg,1.93,4.0
7.48,S_Conglomerate_04.jpg,1.33,6.05
8.0,S_Conglomerate_05.jpg,1.93,6.7
5.81,S_Conglomerate_06.jpg,1.93,2.7
7.43,S_Conglomerate_07.jpg,1.2,2.6
7.67,S_Conglomerate_08.jpg,1.6,3.95
7.86,S_Conglomerate_09.jpg,1.8,3.35
7.76,S_Conglomerate_10.jpg,2.53,3.2
8.33,S_Conglomerate_11.jpg,1.8,4.1
2.43,S_Conglomerate_12.jpg,2.6,1.95
2.1,S_Dolomite_01.jpg,2.53,1.1
3.71,S_Dolomite_02.jpg,2.87,3.35
3.1,S_Dolomite_03.jpg,4.33,2.35
2.52,S_Dolomite_04.jpg,2.67,1.35
2.19,S_Dolomite_05.jpg,4.73,1.55
1.62,S_Dolomite_06.jpg,3.27,2.65
1.57,S_Dolomite_07.jpg,2.93,1.15
2.33,S_Dolomite_08.jpg,2.0,1.25
3.29,S_Dolomite_09.jpg,2.47,1.6
2.38,S_Dolomite_10.jpg,2.67,1.4
4.71,S_Dolomite_11.jpg,1.67,2.35
1.33,S_Dolomite_12.jpg,2.4,1.25
2.57,S_Micrite_01.jpg,2.67,1.95
1.81,S_Micrite_02.jpg,2.0,1.3
2.19,S_Micrite_03.jpg,3.13,1.8
1.48,S_Micrite_04.jpg,5.93,2.0
2.48,S_Micrite_05.jpg,5.13,2.15
3.29,S_Micrite_06.jpg,2.67,1.35
4.38,S_Micrite_07.jpg,1.6,1.35
2.0,S_Micrite_08.jpg,4.33,2.15
2.24,S_Micrite_09.jpg,4.33,1.75
1.19,S_Micrite_10.jpg,3.0,1.0
2.52,S_Micrite_11.jpg,2.4,1.3
2.81,S_Micrite_12.jpg,3.07,2.1
2.57,S_Rock Gypsum_01.jpg,3.07,2.9
2.86,S_Rock Gypsum_02.jpg,4.47,3.1
2.19,S_Rock Gypsum_03.jpg,2.73,2.95
3.14,S_Rock Gypsum_04.jpg,3.33,4.25
2.24,S_Rock Gypsum_05.jpg,2.27,3.5
2.0,S_Rock Gypsum_06.jpg,4.07,2.05
2.19,S_Rock Gypsum_07.jpg,3.07,2.2
1.95,S_Rock Gypsum_08.jpg,5.87,4.0
1.81,S_Rock Gypsum_09.jpg,5.0,5.0
2.14,S_Rock Gypsum_10.jpg,3.67,3.25
1.86,S_Rock Gypsum_11.jpg,4.13,3.2
2.62,S_Rock Gypsum_12.jpg,4.4,4.2
2.1,S_Rock Salt_01.jpg,4.27,4.8
4.24,S_Rock Salt_02.jpg,2.67,5.3
