disorganized/organized,red/green,fine/coarse grain,dull/shiny,chromaticity,Image,darkness/lightness,smooth/rough
2.45,5.33,7.6,4.35,1.0,I_Pegmatite_05.jpg,5.1,7.15
3.3,4.37,5.75,3.9,1.8,I_Pegmatite_06.jpg,6.8,5.85
2.35,5.77,7.45,4.5,2.6,I_Pegmatite_07.jpg,5.0,6.9
2.6,5.07,5.95,6.6,3.0,I_Pegmatite_08.jpg,4.5,6.9
2.1,7.56,6.8,5.2,3.5,I_Pegmatite_09.jpg,5.55,6.8
3.55,7.67,6.6,5.7,4.4,I_Pegmatite_10.jpg,6.4,6.5
2.5,3.0,7.45,4.55,4.3,I_Pegmatite_11.jpg,5.25,6.5
3.25,5.07,6.6,4.75,0.5,I_Pegmatite_12.jpg,5.45,6.75
5.85,5.58,3.55,2.85,1.4,I_Peridotite_01.jpg,3.25,4.95
3.45,7.56,6.2,4.75,4.1,I_Peridotite_02.jpg,5.35,5.7
4.2,5.44,6.45,3.35,1.1,I_Peridotite_03.jpg,3.3,6.15
4.0,4.16,6.25,4.35,3.8,I_Peridotite_04.jpg,5.7,5.5
4.3,7.21,4.8,4.65,2.9,I_Peridotite_05.jpg,4.6,5.9
2.45,7.72,6.95,6.0,3.3,I_Peridotite_06.jpg,5.05,7.0
4.45,7.33,5.85,3.4,2.3,I_Peridotite_07.jpg,4.7,6.2
4.25,7.16,6.4,4.0,3.6,I_Peridotite_08.jpg,4.2,6.1
4.25,5.05,4.8,3.1,1.5,I_Peridotite_09.jpg,3.95,5.05
4.1,7.21,6.65,4.35,2.5,I_Peridotite_10.jpg,5.1,7.1
3.5,8.51,6.35,2.45,3.0,I_Peridotite_11.jpg,5.45,6.95
4.6,7.33,6.45,4.1,2.6,I_Peridotite_12.jpg,4.85,6.0
4.35,4.86,4.95,1.8,1.3,I_Pumice_01.jpg,8.2,5.9
3.85,4.35,5.8,2.0,1.8,I_Pumice_02.jpg,7.9,7.05
3.9,4.65,4.85,1.85,2.0,I_Pumice_03.jpg,7.6,6.6
4.55,4.79,5.2,1.6,1.3,I_Pumice_04.jpg,7.1,6.2
4.85,7.4,5.2,1.55,3.8,I_Pumice_05.jpg,6.6,6.35
5.1,4.16,5.55,1.95,3.4,I_Pumice_06.jpg,7.2,7.05
4.15,4.49,5.85,2.35,1.6,I_Pumice_07.jpg,6.9,6.65
4.95,4.93,4.25,2.15,0.4,I_Pumice_08.jpg,7.3,5.1
3.7,4.95,6.1,2.15,1.4,I_Pumice_09.jpg,7.85,7.6
5.6,5.88,6.15,1.85,1.0,I_Pumice_10.jpg,8.25,7.25
5.6,4.91,4.75,1.7,1.3,I_Pumice_11.jpg,8.15,5.3
5.4,4.49,4.3,2.0,0.6,I_Pumice_12.jpg,8.45,4.6
4.45,4.58,5.6,2.75,1.7,I_Rhyolite_01.jpg,7.1,5.85
5.35,3.21,5.85,2.25,3.4,I_Rhyolite_02.jpg,5.5,4.5
6.55,6.0,4.9,4.65,2.5,I_Rhyolite_03.jpg,3.8,4.1
5.8,2.58,3.7,2.55,4.2,I_Rhyolite_04.jpg,7.55,4.05
4.35,2.74,4.35,2.25,4.1,I_Rhyolite_05.jpg,5.5,4.95
6.35,5.37,5.25,3.75,1.9,I_Rhyolite_06.jpg,4.05,4.3
7.15,4.33,3.75,2.4,1.8,I_Rhyolite_07.jpg,3.15,4.45
6.2,2.91,3.55,1.45,4.5,I_Rhyolite_08.jpg,7.05,3.95
5.45,2.51,5.85,1.8,5.2,I_Rhyolite_09.jpg,6.25,4.55
5.8,7.98,5.4,2.65,2.2,I_Rhyolite_10.jpg,5.7,4.75
6.3,5.05,3.1,2.0,0.9,I_Rhyolite_11.jpg,6.9,4.0
5.15,2.37,5.95,2.6,4.8,I_Rhyolite_12.jpg,5.1,5.9
5.05,4.4,5.55,6.25,0.9,M_Amphibolite_01.jpg,2.0,4.6
4.55,5.16,4.0,2.3,0.6,M_Amphibolite_02.jpg,2.35,5.5
4.5,4.6,3.85,5.55,0.8,M_Amphibolite_03.jpg,2.0,3.3
5.15,5.98,5.15,3.85,1.8,M_Amphibolite_04.jpg,2.85,5.25
5.9,5.14,5.5,2.9,1.5,M_Amphibolite_05.jpg,4.4,5.3
5.55,5.42,4.35,2.85,1.6,M_Amphibolite_06.jpg,3.25,5.0
5.15,5.35,6.0,3.65,1.0,M_Amphibolite_07.jpg,4.0,5.75
4.35,4.95,4.35,6.5,1.0,M_Amphibolite_08.jpg,1.65,6.15
5.85,6.28,5.75,3.5,2.4,M_Amphibolite_09.jpg,3.0,4.45
6.35,5.09,5.3,2.75,0.2,M_Amphibolite_10.jpg,2.75,4.2
3.5,6.49,7.0,3.65,1.4,M_Amphibolite_11.jpg,3.1,6.95
2.35,6.53,6.95,4.3,2.3,M_Amphibolite_12.jpg,3.55,7.35
5.6,5.0,1.65,7.75,0.2,M_Anthracite_01.jpg,1.0,1.4
4.35,4.7,1.9,8.25,0.9,M_Anthracite_02.jpg,1.45,3.3
3.5,5.6,4.9,7.55,1.4,M_Anthracite_03.jpg,3.15,7.3
4.3,4.67,1.95,8.65,0.8,M_Anthracite_04.jpg,1.3,3.75
5.0,4.91,1.85,8.4,0.2,M_Anthracite_05.jpg,1.05,2.85
6.5,5.05,2.6,6.15,1.0,M_Anthracite_06.jpg,2.75,4.95
5.9,5.0,1.3,8.0,0.2,M_Anthracite_07.jpg,1.7,1.65
5.55,5.0,1.3,8.15,0.3,M_Anthracite_08.jpg,1.0,1.9
5.3,4.98,1.4,8.15,0.4,M_Anthracite_09.jpg,1.15,2.1
4.25,4.86,3.35,7.95,0.4,M_Anthracite_10.jpg,1.35,5.85
5.4,5.09,2.55,7.15,0.6,M_Anthracite_11.jpg,1.15,4.35
4.3,5.16,2.5,8.3,0.4,M_Anthracite_12.jpg,1.15,3.15
7.15,6.53,4.05,2.45,1.8,M_Gneiss_01.jpg,5.4,3.5
6.7,4.91,5.3,3.8,3.6,M_Gneiss_02.jpg,5.75,4.9
6.45,4.3,4.5,2.85,2.5,M_Gneiss_03.jpg,5.85,4.55
6.4,3.23,5.2,2.9,3.6,M_Gneiss_04.jpg,5.1,4.3
6.5,6.88,5.0,2.9,2.7,M_Gneiss_05.jpg,6.1,4.8
8.1,4.19,4.55,2.35,1.4,M_Gneiss_06.jpg,6.25,3.85
7.5,6.49,4.0,2.9,2.2,M_Gneiss_07.jpg,4.95,4.0
7.15,6.42,5.15,4.0,1.3,M_Gneiss_08.jpg,5.5,4.45
8.05,5.47,4.9,2.25,1.1,M_Gneiss_09.jpg,5.35,4.15
6.65,3.49,5.45,3.0,3.9,M_Gneiss_10.jpg,5.35,5.15
7.65,5.19,4.85,3.3,1.7,M_Gneiss_11.jpg,5.3,4.65
5.2,5.09,5.25,3.0,1.4,M_Gneiss_12.jpg,4.0,4.3
5.1,5.12,3.0,2.95,0.4,M_Hornfels_01.jpg,1.85,3.85
5.75,5.72,2.8,2.4,1.6,M_Hornfels_02.jpg,5.25,3.75
5.5,4.98,2.6,3.4,1.0,M_Hornfels_03.jpg,2.8,3.75
5.1,5.16,3.45,2.05,2.1,M_Hornfels_04.jpg,3.8,4.75
5.45,5.07,2.15,3.15,0.5,M_Hornfels_05.jpg,2.0,3.45
5.2,2.74,2.8,2.3,3.9,M_Hornfels_06.jpg,2.95,4.05
5.4,6.63,3.05,4.35,1.3,M_Hornfels_07.jpg,1.65,5.05
4.55,5.07,3.85,3.85,1.1,M_Hornfels_08.jpg,3.65,5.5
4.3,5.0,4.85,2.65,2.0,M_Hornfels_09.jpg,4.25,5.4
4.7,5.28,3.85,2.05,1.1,M_Hornfels_10.jpg,4.4,4.25
4.75,5.14,3.9,2.1,1.3,M_Hornfels_11.jpg,3.4,4.6
5.15,5.02,2.6,3.35,1.4,M_Hornfels_12.jpg,3.6,3.3
3.3,6.51,6.2,3.65,1.2,M_Marble_01.jpg,7.6,7.1
5.9,4.95,2.55,5.25,0.2,M_Marble_02.jpg,8.9,4.25
6.0,5.09,2.7,4.15,0.4,M_Marble_03.jpg,8.95,3.7
5.45,4.79,3.2,5.45,0.7,M_Marble_04.jpg,8.65,4.2
4.7,3.91,3.15,5.35,1.1,M_Marble_05.jpg,8.2,3.9
4.95,5.33,3.45,4.85,1.3,M_Marble_06.jpg,8.25,4.75
6.95,5.09,4.95,3.25,0.8,M_Marble_07.jpg,6.3,4.35
4.9,2.09,4.6,5.7,5.1,M_Marble_08.jpg,6.5,5.55
4.8,5.12,5.2,6.3,0.2,M_Marble_09.jpg,8.3,5.8
5.3,3.0,4.5,6.2,3.9,M_Marble_10.jpg,7.75,5.7
3.95,3.07,5.5,4.85,3.8,M_Marble_11.jpg,7.2,5.25
6.95,5.14,4.65,5.15,0.4,M_Marble_12.jpg,6.65,4.25
5.55,5.58,5.05,2.7,0.8,M_Migmatite_01.jpg,6.25,4.65
4.2,5.28,4.6,2.4,1.0,M_Migmatite_02.jpg,4.35,4.8
8.05,5.7,4.25,2.55,1.7,M_Migmatite_03.jpg,5.85,3.7
5.95,5.21,3.6,3.2,1.3,M_Migmatite_04.jpg,5.45,3.2
4.75,5.28,4.3,2.15,1.4,M_Migmatite_05.jpg,5.3,4.05
5.05,5.14,5.05,3.95,1.1,M_Migmatite_06.jpg,5.55,4.85
6.35,5.67,5.2,3.15,1.8,M_Migmatite_07.jpg,4.6,4.55
