disorganized/organized,red/green,fine/coarse grain,dull/shiny,chromaticity,Image,darkness/lightness,smooth/rough
1.8,5.81,7.2,7.3,2.9,S_Rock Salt_04.jpg,6.4,8.2
4.15,2.0,4.0,5.15,5.6,S_Rock Salt_05.jpg,6.5,4.75
3.5,5.0,6.9,6.5,0.5,S_Rock Salt_06.jpg,4.35,8.05
2.65,5.12,6.75,6.35,2.3,S_Rock Salt_07.jpg,8.05,8.2
5.4,4.33,3.15,7.25,2.2,S_Rock Salt_08.jpg,8.25,3.6
2.45,3.02,5.6,7.25,3.6,S_Rock Salt_09.jpg,7.55,7.75
5.5,3.14,3.0,6.2,3.4,S_Rock Salt_10.jpg,8.3,3.95
4.9,2.09,3.55,5.9,4.7,S_Rock Salt_11.jpg,7.0,3.3
4.0,5.02,2.3,7.45,0.4,S_Rock Salt_12.jpg,8.4,3.7
8.9,3.14,4.1,2.35,4.5,S_Sandstone_01.jpg,4.55,3.55
7.55,4.84,3.55,2.75,4.5,S_Sandstone_02.jpg,7.1,3.65
6.85,5.53,2.85,2.35,1.8,S_Sandstone_03.jpg,7.15,2.75
5.6,5.23,3.0,1.75,1.8,S_Sandstone_04.jpg,7.1,3.4
6.6,1.6,3.2,2.0,5.7,S_Sandstone_05.jpg,5.4,3.85
8.4,3.02,4.15,1.95,3.3,S_Sandstone_06.jpg,6.65,4.35
8.95,1.86,3.5,2.15,5.7,S_Sandstone_07.jpg,5.5,3.75
6.5,4.05,2.95,2.1,3.7,S_Sandstone_08.jpg,7.25,3.4
7.75,1.56,3.85,1.8,5.6,S_Sandstone_09.jpg,5.85,3.85
5.5,3.21,4.25,2.25,4.2,S_Sandstone_10.jpg,6.7,5.35
5.7,6.53,4.05,2.1,2.0,S_Sandstone_11.jpg,7.0,4.95
6.65,3.07,3.3,1.6,5.4,S_Sandstone_12.jpg,7.05,3.6
5.95,4.21,2.35,3.75,2.2,S_Shale_01.jpg,4.2,2.7
4.9,5.35,3.8,3.1,1.8,S_Shale_02.jpg,2.5,4.95
5.25,2.3,3.0,2.0,5.0,S_Shale_03.jpg,5.2,4.0
5.8,5.05,2.35,2.3,0.5,S_Shale_04.jpg,2.55,2.85
6.1,4.02,2.45,2.65,2.3,S_Shale_05.jpg,3.75,2.8
6.6,3.09,4.4,3.35,4.2,S_Shale_06.jpg,4.4,4.15
5.4,5.23,2.8,3.45,2.3,S_Shale_07.jpg,4.8,3.45
5.15,2.95,3.1,4.7,3.7,S_Shale_08.jpg,3.5,3.6
3.7,4.09,4.0,3.15,3.5,S_Shale_09.jpg,3.65,5.2
5.5,5.07,2.9,1.8,0.5,S_Shale_10.jpg,4.05,3.75
5.3,2.23,3.45,3.75,5.6,S_Shale_11.jpg,5.05,5.25
5.5,3.05,3.35,2.75,3.8,S_Shale_12.jpg,5.35,3.8
