smooth/rough,Image,red/green,dull/shiny,chromaticity,fine/coarse grain,darkness/lightness,disorganized/organized
7.15,I_Pegmatite_05.jpg,5.33,4.35,1.0,7.6,5.1,2.45
5.85,I_Pegmatite_06.jpg,4.37,3.9,1.8,5.75,6.8,3.3
6.9,I_Pegmatite_07.jpg,5.77,4.5,2.6,7.45,5.0,2.35
6.9,I_Pegmatite_08.jpg,5.07,6.6,3.0,5.95,4.5,2.6
6.8,I_Pegmatite_09.jpg,7.56,5.2,3.5,6.8,5.55,2.1
6.5,I_Pegmatite_10.jpg,7.67,5.7,4.4,6.6,6.4,3.55
6.5,I_Pegmatite_11.jpg,3.0,4.55,4.3,7.45,5.25,2.5
6.75,I_Pegmatite_12.jpg,5.07,4.75,0.5,6.6,5.45,3.25
4.95,I_Peridotite_01.jpg,5.58,2.85,1.4,3.55,3.25,5.85
5.7,I_Peridotite_02.jpg,7.56,4.75,4.1,6.2,5.35,3.45
6.15,I_Peridotite_03.jpg,5.44,3.35,1.1,6.45,3.3,4.2
5.5,I_Peridotite_04.jpg,4.16,4.35,3.8,6.25,5.7,4.0
5.9,I_Peridotite_05.jpg,7.21,4.65,2.9,4.8,4.6,4.3
7.0,I_Peridotite_06.jpg,7.72,6.0,3.3,6.95,5.05,2.45
6.2,I_Peridotite_07.jpg,7.33,3.4,2.3,5.85,4.7,4.45
6.1,I_Peridotite_08.jpg,7.16,4.0,3.6,6.4,4.2,4.25
5.05,I_Peridotite_09.jpg,5.05,3.1,1.5,4.8,3.95,4.25
7.1,I_Peridotite_10.jpg,7.21,4.35,2.5,6.65,5.1,4.1
6.95,I_Peridotite_11.jpg,8.51,2.45,3.0,6.35,5.45,3.5
6.0,I_Peridotite_12.jpg,7.33,4.1,2.6,6.45,4.85,4.6
5.9,I_Pumice_01.jpg,4.86,1.8,1.3,4.95,8.2,4.35
7.05,I_Pumice_02.jpg,4.35,2.0,1.8,5.8,7.9,3.85
6.6,I_Pumice_03.jpg,4.65,1.85,2.0,4.85,7.6,3.9
6.2,I_Pumice_04.jpg,4.79,1.6,1.3,5.2,7.1,4.55
6.35,I_Pumice_05.jpg,7.4,1.55,3.8,5.2,6.6,4.85
7.05,I_Pumice_06.jpg,4.16,1.95,3.4,5.55,7.2,5.1
6.65,I_Pumice_07.jpg,4.49,2.35,1.6,5.85,6.9,4.15
5.1,I_Pumice_08.jpg,4.93,2.15,0.4,4.25,7.3,4.95
7.6,I_Pumice_09.jpg,4.95,2.15,1.4,6.1,7.85,3.7
7.25,I_Pumice_10.jpg,5.88,1.85,1.0,6.15,8.25,5.6
5.3,I_Pumice_11.jpg,4.91,1.7,1.3,4.75,8.15,5.6
4.6,I_Pumice_12.jpg,4.49,2.0,0.6,4.3,8.45,5.4
5.85,I_Rhyolite_01.jpg,4.58,2.75,1.7,5.6,7.1,4.45
4.5,I_Rhyolite_02.jpg,3.21,2.25,3.4,5.85,5.5,5.35
4.1,I_Rhyolite_03.jpg,6.0,4.65,2.5,4.9,3.8,6.55
4.05,I_Rhyolite_04.jpg,2.58,2.55,4.2,3.7,7.55,5.8
4.95,I_Rhyolite_05.jpg,2.74,2.25,4.1,4.35,5.5,4.35
4.3,I_Rhyolite_06.jpg,5.37,3.75,1.9,5.25,4.05,6.35
4.45,I_Rhyolite_07.jpg,4.33,2.4,1.8,3.75,3.15,7.15
3.95,I_Rhyolite_08.jpg,2.91,1.45,4.5,3.55,7.05,6.2
4.55,I_Rhyolite_09.jpg,2.51,1.8,5.2,5.85,6.25,5.45
4.75,I_Rhyolite_10.jpg,7.98,2.65,2.2,5.4,5.7,5.8
4.0,I_Rhyolite_11.jpg,5.05,2.0,0.9,3.1,6.9,6.3
5.9,I_Rhyolite_12.jpg,2.37,2.6,4.8,5.95,5.1,5.15
4.6,M_Amphibolite_01.jpg,4.4,6.25,0.9,5.55,2.0,5.05
5.5,M_Amphibolite_02.jpg,5.16,2.3,0.6,4.0,2.35,4.55
3.3,M_Amphibolite_03.jpg,4.6,5.55,0.8,3.85,2.0,4.5
5.25,M_Amphibolite_04.jpg,5.98,3.85,1.8,5.15,2.85,5.15
5.3,M_Amphibolite_05.jpg,5.14,2.9,1.5,5.5,4.4,5.9
5.0,M_Amphibolite_06.jpg,5.42,2.85,1.6,4.35,3.25,5.55
5.75,M_Amphibolite_07.jpg,5.35,3.65,1.0,6.0,4.0,5.15
6.15,M_Amphibolite_08.jpg,4.95,6.5,1.0,4.35,1.65,4.35
4.45,M_Amphibolite_09.jpg,6.28,3.5,2.4,5.75,3.0,5.85
4.2,M_Amphibolite_10.jpg,5.09,2.75,0.2,5.3,2.75,6.35
6.95,M_Amphibolite_11.jpg,6.49,3.65,1.4,7.0,3.1,3.5
7.35,M_Amphibolite_12.jpg,6.53,4.3,2.3,6.95,3.55,2.35
1.4,M_Anthracite_01.jpg,5.0,7.75,0.2,1.65,1.0,5.6
3.3,M_Anthracite_02.jpg,4.7,8.25,0.9,1.9,1.45,4.35
7.3,M_Anthracite_03.jpg,5.6,7.55,1.4,4.9,3.15,3.5
3.75,M_Anthracite_04.jpg,4.67,8.65,0.8,1.95,1.3,4.3
