smooth/rough,Image,red/green,dull/shiny,chromaticity,fine/coarse grain,darkness/lightness,disorganized/organized
8.2,S_Rock Salt_04.jpg,5.81,7.3,2.9,7.2,6.4,1.8
4.75,S_Rock Salt_05.jpg,2.0,5.15,5.6,4.0,6.5,4.15
8.05,S_Rock Salt_06.jpg,5.0,6.5,0.5,6.9,4.35,3.5
8.2,S_Rock Salt_07.jpg,5.12,6.35,2.3,6.75,8.05,2.65
3.6,S_Rock Salt_08.jpg,4.33,7.25,2.2,3.15,8.25,5.4
7.75,S_Rock Salt_09.jpg,3.02,7.25,3.6,5.6,7.55,2.45
3.95,S_Rock Salt_10.jpg,3.14,6.2,3.4,3.0,8.3,5.5
3.3,S_Rock Salt_11.jpg,2.09,5.9,4.7,3.55,7.0,4.9
3.7,S_Rock Salt_12.jpg,5.02,7.45,0.4,2.3,8.4,4.0
3.55,S_Sandstone_01.jpg,3.14,2.35,4.5,4.1,4.55,8.9
3.65,S_Sandstone_02.jpg,4.84,2.75,4.5,3.55,7.1,7.55
2.75,S_Sandstone_03.jpg,5.53,2.35,1.8,2.85,7.15,6.85
3.4,S_Sandstone_04.jpg,5.23,1.75,1.8,3.0,7.1,5.6
3.85,S_Sandstone_05.jpg,1.6,2.0,5.7,3.2,5.4,6.6
4.35,S_Sandstone_06.jpg,3.02,1.95,3.3,4.15,6.65,8.4
3.75,S_Sandstone_07.jpg,1.86,2.15,5.7,3.5,5.5,8.95
3.4,S_Sandstone_08.jpg,4.05,2.1,3.7,2.95,7.25,6.5
3.85,S_Sandstone_09.jpg,1.56,1.8,5.6,3.85,5.85,7.75
5.35,S_Sandstone_10.jpg,3.21,2.25,4.2,4.25,6.7,5.5
4.95,S_Sandstone_11.jpg,6.53,2.1,2.0,4.05,7.0,5.7
3.6,S_Sandstone_12.jpg,3.07,1.6,5.4,3.3,7.05,6.65
2.7,S_Shale_01.jpg,4.21,3.75,2.2,2.35,4.2,5.95
4.95,S_Shale_02.jpg,5.35,3.1,1.8,3.8,2.5,4.9
4.0,S_Shale_03.jpg,2.3,2.0,5.0,3.0,5.2,5.25
2.85,S_Shale_04.jpg,5.05,2.3,0.5,2.35,2.55,5.8
2.8,S_Shale_05.jpg,4.02,2.65,2.3,2.45,3.75,6.1
4.15,S_Shale_06.jpg,3.09,3.35,4.2,4.4,4.4,6.6
3.45,S_Shale_07.jpg,5.23,3.45,2.3,2.8,4.8,5.4
3.6,S_Shale_08.jpg,2.95,4.7,3.7,3.1,3.5,5.15
5.2,S_Shale_09.jpg,4.09,3.15,3.5,4.0,3.65,3.7
3.75,S_Shale_10.jpg,5.07,1.8,0.5,2.9,4.05,5.5
5.25,S_Shale_11.jpg,2.23,3.75,5.6,3.45,5.05,5.3
3.8,S_Shale_12.jpg,3.05,2.75,3.8,3.35,5.35,5.5
