red/green,disorganized/organized,dull/shiny,chromaticity,darkness/lightness,Image,fine/coarse grain,smooth/rough
4.51,4.85,4.15,1.5,5.95,I_Diorite_06.jpg,6.25,5.35
4.7,4.55,3.75,1.4,6.15,I_Diorite_07.jpg,6.45,5.35
5.7,4.8,4.4,1.7,5.9,I_Diorite_08.jpg,7.3,6.45
5.02,5.6,3.85,1.8,5.75,I_Diorite_09.jpg,6.3,4.7
6.77,5.95,3.0,1.9,6.2,I_Diorite_10.jpg,5.35,5.25
5.72,5.3,3.2,1.8,6.15,I_Diorite_11.jpg,6.1,5.25
6.0,4.85,3.15,2.9,5.65,I_Diorite_12.jpg,6.3,5.75
5.58,4.8,3.25,1.1,5.1,I_Gabbro_01.jpg,5.55,5.95
4.4,5.2,2.85,1.9,3.3,I_Gabbro_02.jpg,3.65,4.45
5.26,5.65,3.45,1.0,4.5,I_Gabbro_03.jpg,5.35,5.0
5.33,4.15,3.9,0.6,4.0,I_Gabbro_04.jpg,6.4,6.85
6.58,3.9,3.15,2.0,3.65,I_Gabbro_05.jpg,6.15,6.65
5.95,3.75,3.35,1.2,4.65,I_Gabbro_06.jpg,5.35,5.65
3.02,4.1,2.4,3.9,4.25,I_Gabbro_07.jpg,7.3,6.95
5.28,4.45,3.25,0.7,3.5,I_Gabbro_08.jpg,5.85,6.0
5.05,3.9,5.2,0.2,1.9,I_Gabbro_09.jpg,5.9,6.75
4.88,4.55,3.55,0.8,2.0,I_Gabbro_10.jpg,5.15,6.55
5.33,4.95,2.8,0.9,4.4,I_Gabbro_11.jpg,4.8,5.25
5.26,4.6,2.65,1.0,4.25,I_Gabbro_12.jpg,5.3,5.2
2.4,4.6,3.95,5.5,5.0,I_Granite_01.jpg,7.35,6.25
4.67,5.45,3.3,1.4,7.15,I_Granite_02.jpg,5.6,5.3
2.91,5.05,3.85,4.5,6.25,I_Granite_03.jpg,6.05,5.45
4.56,5.75,3.35,1.4,6.0,I_Granite_04.jpg,5.8,5.35
2.12,3.7,2.2,5.7,5.0,I_Granite_05.jpg,6.45,6.9
4.6,5.2,3.7,1.7,5.55,I_Granite_06.jpg,5.95,5.15
4.93,5.0,3.3,0.8,6.45,I_Granite_07.jpg,6.1,5.75
4.86,5.1,4.4,1.4,6.7,I_Granite_08.jpg,6.2,5.05
2.26,2.6,5.55,5.2,4.8,I_Granite_09.jpg,7.3,7.8
2.81,4.45,3.55,5.5,5.5,I_Granite_10.jpg,6.45,6.0
4.42,4.85,3.95,2.0,7.0,I_Granite_11.jpg,6.85,5.4
3.88,4.45,4.15,3.1,6.5,I_Granite_12.jpg,6.6,5.65
3.88,5.4,7.7,2.2,1.5,I_Obsidian_01.jpg,1.5,1.75
4.6,5.65,8.45,1.5,1.1,I_Obsidian_02.jpg,1.05,1.2
